outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
887,hybrid,2,397,4.256708962187517,8.521253383438115,2.2150603129709365,4.454061645398037,0.5642094291549722,0.59183433234849
887,hybrid,3,429,3.8144738973793983,7.056948115827809,1.908590187271722,3.8289606222431725,0.6500554708974338,0.7200610291068756
887,hybrid,4,461,3.496075254467175,6.82064406956767,1.973146406009043,3.91539460577839,0.7060378206281209,0.7384948257422366
887,hybrid,5,493,3.5286117015738316,6.657813607077257,1.875434029302437,3.5786616179011137,0.7005408044341621,0.7508317065418979
887,hybrid,6,525,3.2965975164316803,6.118877051992919,1.848795570629678,3.5377366708622846,0.738626370979101,0.789538352041684
887,hybrid,7,557,3.09821128875423,5.7153795770272255,1.6336043589978482,3.1672490209126645,0.7691382530590828,0.8163801323222126
887,hybrid,8,589,3.042575432442961,5.619465658918743,1.6090317001159815,3.0940612408754635,0.7773551663552811,0.8224913357412857
887,hybrid,9,621,3.015800258297869,5.532469024254253,1.6220250752904146,3.0145023663838706,0.781256547843903,0.8279449219520266
887,hybrid,10,653,3.289862821232116,5.491910077930041,1.6686606612994517,2.748043530278926,0.7396932125732083,0.8304583723328715
887,hybrid,11,685,3.172304771583011,5.525648506801104,1.636601144461323,2.9028099949697226,0.7579641362285847,0.8283688850324549
887,hybrid,12,717,3.1086408797124947,5.427010776610324,1.6586559670720455,2.860172906367899,0.7675813248360039,0.8344417295292593
887,hybrid,13,749,3.0590104165340515,5.400996329780746,1.6396540573460878,2.9588361449664733,0.7749433628179305,0.8360251368207655
887,hybrid,14,781,3.1016388931197763,5.519543546133192,1.585406390311335,3.255157088776001,0.7686271578665579,0.8287479255661894
887,hybrid,15,813,3.0591978526064207,5.391790209989886,1.5198254499504034,2.5823021769809493,0.7749157819870336,0.8365836580976195
887,hybrid,16,845,3.1278628043825685,5.125670643579305,1.5274705463747897,2.6000429206043125,0.764698169989606,0.8523168639247751
887,hybrid,17,877,3.0629629278713097,5.238863531465432,1.5119711020581728,2.4712902945008497,0.7743614010262664,0.8457221123392432
887,hybrid,18,909,3.0052026573174824,5.200120989637121,1.5005716820129102,2.528021574592133,0.782791187140097,0.8479955124514411
887,hybrid,19,941,3.0004473677613754,5.043923331080989,1.4904434246410854,2.3742492204661563,0.7834780450451174,0.8569899804520618
887,hybrid,20,973,3.086838671364767,4.899912204253694,1.55974734601357,2.3126866251444644,0.7708299928097302,0.865039676726828
887,hybrid,21,1005,2.8707621516812125,5.05051375230219,1.39382349672935,2.3397235653097397,0.8017905587388924,0.856616020761767
887,lcmd,0,333,4.3099071126750665,8.940529207473261,2.2923749225030985,4.6896172518924555,0.5532487932579229,0.5506797772836323
